Age Group,Type,Muscle,Exercise,No. of Reps/Duration,No. of Sets,Home,Experience,Health
36-60 years,Muscle Growth,Core,Plank withShoulder Taps,10-15 repetitions/side,3-4 sets,Yes,Beginner,Yes
Over 60 years,Muscle Growth,Core,Plank,15-30 seconds,2-3 sets,Yes,Beginner,Yes
Over 60 years,Muscle Growth,Core,Crunches,10-15 repetitions,2-3 sets,Yes,Beginner,Yes
Over 60 years,Muscle Growth,Core,Leg Raises,8-12 repetitions,2-3 sets,Yes,Beginner,Yes
Over 60 years,Muscle Growth,Core,Russian Twists,10-15 repetitions,2-3 sets,Yes,Beginner,Yes
Over 60 years,Muscle Growth,Core,Mountain Climbers,8-10 repetitions,2-3 sets,Yes,Beginner,Yes
Over 60 years,Muscle Growth,Core,Bicycle Crunches,10-15 repetitions,2-3 sets,Yes,Beginner,Yes
Over 60 years,Muscle Growth,Core,Plank withShoulder Taps,5-10 repetitions/side,2-3 sets,Yes,Beginner,Yes
6-12 years,Weight Loss,None,Treadmill Interval Training,5-10 minutes,2,No,Beginner,Yes
6-12 years,Weight Loss,None,Stationary Bike Sprints,5-10 minutes,2,No,Beginner,Yes
6-12 years,Weight Loss,None,Elliptical Machine,5-15 minutes,2,No,Beginner,Yes
6-12 years,Weight Loss,None,Rowing Machine,5-15 minutes,2,No,Beginner,Yes
6-12 years,Weight Loss,None,Kettlebell Swings,5-10,2,No,Beginner,Yes
6-12 years,Weight Loss,None,Battle Ropes,10-15,2,No,Beginner,Yes
6-12 years,Weight Loss,None,Stair Climber,5-10 minutes,2,No,Beginner,Yes
13-18 years,Weight Loss,None,Treadmill Interval Training,10-20 minutes,2,No,Beginner,Yes
13-18 years,Weight Loss,None,Stationary Bike Sprints,10-20 minutes,2,No,Beginner,Yes
13-18 years,Weight Loss,None,Elliptical Machine,15-30 minutes,2,No,Beginner,Yes
13-18 years,Weight Loss,None,Rowing Machine,15-30 minutes,2,No,Beginner,Yes
13-18 years,Weight Loss,None,Kettlebell Swings,10-15,2,No,Beginner,Yes
13-18 years,Weight Loss,None,Battle Ropes,15-20,2,No,Beginner,Yes
13-18 years,Weight Loss,None,Stair Climber,10-20 minutes,2,No,Beginner,Yes
19-35 years,Weight Loss,None,Treadmill Interval Training,15-30 minutes,2,No,Beginner,Yes
19-35 years,Weight Loss,None,Stationary Bike Sprints,15-30 minutes,2,No,Beginner,Yes
19-35 years,Weight Loss,None,Elliptical Machine,20-45 minutes,2,No,Beginner,Yes
19-35 years,Weight Loss,None,Rowing Machine,20-45 minutes,2,No,Beginner,Yes
19-35 years,Weight Loss,None,Kettlebell Swings,15-20,2,No,Beginner,Yes
19-35 years,Weight Loss,None,Battle Ropes,20-30,2,No,Beginner,Yes
19-35 years,Weight Loss,None,Stair Climber,15-30 minutes,2,No,Beginner,Yes
36-60 years,Weight Loss,None,Treadmill Interval Training,10-20 minutes,2,No,Beginner,Yes
36-60 years,Weight Loss,None,Stationary Bike Sprints,10-20 minutes,2,No,Beginner,Yes
36-60 years,Weight Loss,None,Elliptical Machine,15-30 minutes,2,No,Beginner,Yes
36-60 years,Weight Loss,None,Rowing Machine,15-30 minutes,2,No,Beginner,Yes
36-60 years,Weight Loss,None,Kettlebell Swings,10-15,2,No,Beginner,Yes
36-60 years,Weight Loss,None,Battle Ropes,15-20,2,No,Beginner,Yes
36-60 years,Weight Loss,None,Stair Climber,10-20 minutes,2,No,Beginner,Yes
Over 60 years,Weight Loss,None,Treadmill Interval Training,5-10 minutes,2,No,Beginner,Yes
Over 60 years,Weight Loss,None,Stationary Bike Sprints,5-10 minutes,2,No,Beginner,Yes
Over 60 years,Weight Loss,None,Elliptical Machine,10-15 minutes,2,No,Beginner,Yes
Over 60 years,Weight Loss,None,Rowing Machine,10-15 minutes,2,No,Beginner,Yes
Over 60 years,Weight Loss,None,Kettlebell Swings,5-10,2,No,Beginner,Yes
Over 60 years,Weight Loss,None,Battle Ropes,10-15,2,No,Beginner,Yes
Over 60 years,Weight Loss,None,Stair Climber,5-10 minutes,2,No,Beginner,Yes
6-12 years,Muscle Growth,Shoulder,Not Recommended,Not Recommended,Not Recommended,No,Beginner,Yes
13-18 years,Muscle Growth,Chest,Dumbbell Bench Press,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Chest,Dumbbell Flyes,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Chest,Pullovers,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Chest,Barbell Bench Press,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Chest,Smith Machine Bench Press,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Chest,MachineChest Press,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Chest,Seated Machine Flyes,8-12,2-3,No,Beginner,Yes
19-35 years,Muscle Growth,Chest,Dumbbell Bench Press,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Chest,Dumbbell Flyes,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Chest,Pullovers,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Chest,Barbell Bench Press,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Chest,Smith Machine Bench Press,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Chest,Machine Chest Press,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Chest,Seated Machine Flyes,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Chest,Dumbbell Bench Press,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Chest,Dumbbell Flyes,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Chest,Pullovers,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Chest,Barbell Bench Press,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Chest,Smith Machine Bench Press,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Chest,Machine Chest Press,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Chest,Seated Machine Flyes,8-12,3-4,No,Beginner,Yes
Over 60 years,Muscle Growth,Chest,Dumbbell Bench Press,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Chest,Dumbbell Flyes,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Chest,Pullovers,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Chest,Barbell Bench Press,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Chest,Smith Machine Bench Press,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Chest,Machine Chest Press,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Chest,Seated Machine Flyes,8-12,2-3,No,Beginner,Yes
6-12 years,Muscle Growth,Chest,Not Recommended,Not Recommended,Not Recommended,No,Beginner,Yes
13-18 years,Muscle Growth,Back,Bent Over Dumbbell Rows,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Back,Single-Arm Dumbbell Rows,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Back,Barbell Rows,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Back,Lat Pulldowns,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Back,Seated Cable Rows,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Back,T-Bar Rows,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Back,Machine Pulldowns,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Back,Smith Machine Bent Over Rows,8-12,2-3,No,Beginner,Yes
19-35 years,Muscle Growth,Back,Bent Over Dumbbell Rows,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Back,Single-Arm Dumbbell Rows,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Back,Barbell Rows,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Back,Lat Pulldowns,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Back,Seated Cable Rows,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Back,T-Bar Rows,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Back,Machine Pulldowns,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Back,Smith Machine Bent Over Rows,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Back,Bent Over Dumbbell Rows,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Back,Single-Arm Dumbbell Rows,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Back,Barbell Rows,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Back,Lat Pulldowns,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Back,Seated Cable Rows,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Back,T-Bar Rows,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Back,Machine Pulldowns,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Back,Smith Machine Bent Over Rows,8-12,3-4,No,Beginner,Yes
Over 60 years,Muscle Growth,Back,Bent Over Dumbbell Rows,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Back,Single-Arm Dumbbell Rows,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Back,Barbell Rows,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Back,Lat Pulldowns,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Back,Seated Cable Rows,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Back,T-Bar Rows,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Back,Machine Pulldowns,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Back,Smith Machine Bent Over Rows,8-12,2-3,No,Beginner,Yes
6-12 years,Muscle Growth,Shoulder,Not Recommended,Not Recommended,Not Recommended,No,Beginner,Yes
13-18 years,Muscle Growth,Shoulder,Lateral Raises,10-15,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Shoulder,Front Raises,10-15,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Shoulder,Arnold Press,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Shoulder,Cable Lateral Raises,10-15,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Shoulder,Cable Face Pulls,10-15,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Shoulder,Machine Shoulder Press,8-12,2-3,No,Beginner,Yes
19-35 years,Muscle Growth,Shoulder,Lateral Raises,10-15,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Shoulder,Front Raises,10-15,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Shoulder,Arnold Press,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Shoulder,Cable Lateral Raises,10-15,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Shoulder,Cable Face Pulls,10-15,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Shoulder,Machine Shoulder Press,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Shoulder,Lateral Raises,10-15,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Shoulder,Front Raises,10-15,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Shoulder,Arnold Press,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Shoulder,Cable Lateral Raises,10-15,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Shoulder,Cable Face Pulls,10-15,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Shoulder,Machine Shoulder Press,8-12,3-4,No,Beginner,Yes
Over 60 years,Muscle Growth,Shoulder,Lateral Raises,10-15,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Shoulder,Front Raises,10-15,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Shoulder,Arnold Press,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Shoulder,Cable Lateral Raises,10-15,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Shoulder,Cable Face Pulls,10-15,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Shoulder,Machine Shoulder Press,8-12,2-3,No,Beginner,Yes
6-12 years,Muscle Growth,Arms,Not Recommended,Not Recommended,Not Recommended,No,Beginner,Yes
13-18 years,Muscle Growth,Arms,Dumbbell Skull Crushers,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Arms,Triceps Extension Machine,10-15,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Arms,Preacher Curl Machine,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Arms,Close Grip Bench Press,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Arms,Triceps Dips,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Arms,Triceps Cable Pushdown,10-15,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Arms,Dumbbell Hammer Curls,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Arms,Barbell Bicep Curls,8-12,2-3,No,Beginner,Yes
19-35 years,Muscle Growth,Arms,Dumbbell Skull Crushers,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Arms,Triceps Extension Machine,10-15,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Arms,Preacher Curl Machine,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Arms,Close Grip Bench Press,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Arms,Triceps Dips,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Arms,Triceps Cable Pushdown,10-15,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Arms,Dumbbell Hammer Curls,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Arms,Barbell Bicep Curls,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Arms,Dumbbell Skull Crushers,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Arms,Triceps Extension Machine,10-15,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Arms,Preacher Curl Machine,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Arms,Close Grip Bench Press,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Arms,Triceps Dips,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Arms,Triceps Cable Pushdown,10-15,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Arms,Dumbbell Hammer Curls,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Arms,Barbell Bicep Curls,8-12,3-4,No,Beginner,Yes
Over 60 years,Muscle Growth,Arms,Dumbbell Skull Crushers,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Arms,Triceps Extension Machine,10-15,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Arms,Preacher Curl Machine,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Arms,Close Grip Bench Press,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Arms,Triceps Dips,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Arms,Triceps Cable Pushdown,10-15,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Arms,Dumbbell Hammer Curls,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Arms,Barbell Bicep Curls,8-12,2-3,No,Beginner,Yes
6-12 years,Muscle Growth,Legs,Not Recommended,Not Recommended,Not Recommended,No,Beginner,Yes
13-18 years,Muscle Growth,Legs,Barbell Squats,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Legs,Leg Press Machine,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Legs,Leg Extension Machine,10-15,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Legs,Leg Curl Machine,10-15,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Legs,Dumbbell Lunges (per leg),8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Legs,Hack Squat Machine,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Legs,Calf Raise Machine,10-15,2-3,No,Beginner,Yes
19-35 years,Muscle Growth,Legs,Barbell Squats,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Legs,Leg Press Machine,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Legs,Leg Extension Machine,10-15,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Legs,Leg Curl Machine,10-15,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Legs,Dumbbell Lunges (per leg),8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Legs,Hack Squat Machine,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Legs,Calf Raise Machine,10-15,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Legs,Barbell Squats,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Legs,Leg Press Machine,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Legs,Leg Extension Machine,10-15,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Legs,Leg Curl Machine,10-15,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Legs,Dumbbell Lunges (per leg),8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Legs,Hack Squat Machine,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Legs,Calf Raise Machine,10-15,3-4,No,Beginner,Yes
Over 60 years,Muscle Growth,Legs,Barbell Squats,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Legs,Leg Press Machine,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Legs,Leg Extension Machine,10-15,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Legs,Leg Curl Machine,10-15,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Legs,Dumbbell Lunges (per leg),8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Legs,Hack Squat Machine,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Legs,Calf Raise Machine,10-15,2-3,No,Beginner,Yes
6-12 years,Muscle Growth,Glutes,Not Recommended,Not Recommended,Not Recommended,No,Beginner,Yes
13-18 years,Muscle Growth,Glutes,Barbell Hip Thrusts,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Glutes,Dumbbell Romanian Deadlifts,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Glutes,Cable Kickbacks (per leg),10-15,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Glutes,Smith Machine Sumo Squats,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Glutes,Bulgarian Split Squats (per leg),8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Glutes,Glute Bridge (with Dumbbells),8-12,2-3,No,Beginner,Yes
19-35 years,Muscle Growth,Glutes,Barbell Hip Thrusts,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Glutes,Dumbbell Romanian Deadlifts,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Glutes,Cable Kickbacks (per leg),10-15,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Glutes,Smith Machine Sumo Squats,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Glutes,Bulgarian Split Squats (per leg),8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Glutes,Glute Bridge (with Dumbbells),8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Glutes,Barbell Hip Thrusts,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Glutes,Dumbbell Romanian Deadlifts,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Glutes,Cable Kickbacks (per leg),10-15,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Glutes,Smith Machine Sumo Squats,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Glutes,Bulgarian Split Squats (per leg),8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Glutes,Glute Bridge (with Dumbbells),8-12,3-4,No,Beginner,Yes
Over 60 years,Muscle Growth,Glutes,Barbell Hip Thrusts,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Glutes,Dumbbell Romanian Deadlifts,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Glutes,Cable Kickbacks (per leg),10-15,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Glutes,Smith Machine Sumo Squats,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Glutes,Bulgarian Split Squats (per leg),8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Glutes,Glute Bridge (with Dumbbells),8-12,2-3,No,Beginner,Yes
6-12 years,Muscle Growth,Core,Not Recommended,Not Recommended,Not Recommended,No,Beginner,Yes
13-18 years,Muscle Growth,Core,Weighted Cable Crunches,10-15,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Core,Weighted Russian Twists (each side),10-15,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Core,Medicine Ball Slam,10-15,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Core,Weighted Planks (Hold), 30-45 seconds,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Core,Decline Weighted Sit-Ups,8-12,2-3,No,Beginner,Yes
13-18 years,Muscle Growth,Core,Kneeling Cable Woodchoppers (each side),10-15,2-3,No,Beginner,Yes
19-35 years,Muscle Growth,Core,Weighted Cable Crunches,10-15,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Core,Weighted Russian Twists (each side),10-15,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Core,Medicine Ball Slam,10-15,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Core,Weighted Planks (Hold), 30-60 seconds,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Core,Decline Weighted Sit-Ups,8-12,3-4,No,Beginner,Yes
19-35 years,Muscle Growth,Core,Kneeling Cable Woodchoppers (each side),10-15,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Core,Weighted Cable Crunches,10-15,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Core,Weighted Russian Twists (each side),10-15,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Core,Medicine Ball Slam,10-15,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Core,Weighted Planks (Hold), 30-60 seconds,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Core,Decline Weighted Sit-Ups,8-12,3-4,No,Beginner,Yes
36-60 years,Muscle Growth,Core,Kneeling Cable Woodchoppers (each side),10-15,3-4,No,Beginner,Yes
Over 60 years,Muscle Growth,Core,Weighted Cable Crunches,10-15,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Core,Weighted Russian Twists (each side),10-15,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Core,Medicine Ball Slam,10-15,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Core,Weighted Planks (Hold), 20-45 seconds,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Core,Decline Weighted Sit-Ups,8-12,2-3,No,Beginner,Yes
Over 60 years,Muscle Growth,Core,Kneeling Cable Woodchoppers (each side),10-15,2-3,No,Beginner,Yes
6-12 years,Weight Loss,None,Jumping Jacks,15-20 reps,2,Yes,Intermediate,Yes
6-12 years,Weight Loss,None,Burpees,5-8 reps,2,Yes,Intermediate,Yes
6-12 years,Weight Loss,None,High Knees,20-25 sec,2,Yes,Intermediate,Yes
6-12 years,Weight Loss,None,Mountain Climbers,10-15 reps/leg,2,Yes,Intermediate,Yes
6-12 years,Weight Loss,None,Squats,8-12 reps,2,Yes,Intermediate,Yes
6-12 years,Weight Loss,None,Lunges,6-10 reps/leg,2,Yes,Intermediate,Yes
6-12 years,Weight Loss,None,Push-ups,5-8 reps,2,Yes,Intermediate,Yes
6-12 years,Weight Loss,None,Plank,15-30 sec,2,Yes,Intermediate,Yes
6-12 years,Weight Loss,None,Bicycle Crunches,10-15 reps/side,2,Yes,Intermediate,Yes
6-12 years,Weight Loss,None,Russian Twists,10-15 reps/side,2,Yes,Intermediate,Yes
13-18 years,Weight Loss,None,Jumping Jacks,25-30 reps,2,Yes,Intermediate,Yes
13-18 years,Weight Loss,None,Burpees,12-15 reps,2,Yes,Intermediate,Yes
13-18 years,Weight Loss,None,High Knees,35-40 sec,2,Yes,Intermediate,Yes
13-18 years,Weight Loss,None,Mountain Climbers,20-25 reps/leg,2,Yes,Intermediate,Yes
13-18 years,Weight Loss,None,Squats,11-14 reps,2,Yes,Intermediate,Yes
13-18 years,Weight Loss,None,Lunges,8-12 reps/leg,2,Yes,Intermediate,Yes
13-18 years,Weight Loss,None,Push-ups,8-12 reps,2,Yes,Intermediate,Yes
13-18 years,Weight Loss,None,Plank,40-45 sec,2,Yes,Intermediate,Yes
13-18 years,Weight Loss,None,Bicycle Crunches,15-20 reps/side,2,Yes,Intermediate,Yes
13-18 years,Weight Loss,None,Russian Twists,15-20 reps/side,2,Yes,Intermediate,Yes
19-35 years,Weight Loss,None,Jumping Jacks,30-35 reps,2,Yes,Intermediate,Yes
19-35 years,Weight Loss,None,Burpees,15-18 reps,2,Yes,Intermediate,Yes
19-35 years,Weight Loss,None,High Knees,45-50 sec,2,Yes,Intermediate,Yes
19-35 years,Weight Loss,None,Mountain Climbers,10-15 reps/leg,2,Yes,Intermediate,Yes
19-35 years,Weight Loss,None,Squats,13-15 reps,2,Yes,Intermediate,Yes
19-35 years,Weight Loss,None,Lunges,15-18 reps/leg,2,Yes,Intermediate,Yes
19-35 years,Weight Loss,None,Push-ups,15-20 reps,2,Yes,Intermediate,Yes
19-35 years,Weight Loss,None,Plank,1-2 min,2,Yes,Intermediate,Yes
19-35 years,Weight Loss,None,Bicycle Crunches,20-25 reps/side,2,Yes,Intermediate,Yes
19-35 years,Weight Loss,None,Russian Twists,20-25 reps/side,2,Yes,Intermediate,Yes
36-60 years,Weight Loss,None,Jumping Jacks,20-25 reps,2,Yes,Intermediate,Yes
36-60 years,Weight Loss,None,Burpees,10-12 reps,2,Yes,Intermediate,Yes
36-60 years,Weight Loss,None,High Knees,30-35 sec,2,Yes,Intermediate,Yes
36-60 years,Weight Loss,None,Mountain Climbers,10-15 reps/leg,2,Yes,Intermediate,Yes
36-60 years,Weight Loss,None,Squats,9-11 reps,2,Yes,Intermediate,Yes
36-60 years,Weight Loss,None,Lunges,6-10 reps/leg,2,Yes,Intermediate,Yes
36-60 years,Weight Loss,None,Push-ups,6-9 reps,2,Yes,Intermediate,Yes
36-60 years,Weight Loss,None,Plank,45-50 sec,2,Yes,Intermediate,Yes
36-60 years,Weight Loss,None,Bicycle Crunches,15-20 reps/side,2,Yes,Intermediate,Yes
36-60 years,Weight Loss,None,Russian Twists,15-20 reps/side,2,Yes,Intermediate,Yes
Over 60 years,Weight Loss,None,Jumping Jacks,10-15 reps,2,Yes,Intermediate,Yes
Over 60 years,Weight Loss,None,Burpees,5-7 reps,2,Yes,Intermediate,Yes
